input,output
 I hope so . We have planed to visit the square but we have to cancel it . , I think you can go to visit the museum . It's worth seeing . You can go to the square some other time . 
 I think you can go to visit the museum . It's worth seeing . You can go to the square some other time . , Good idea . Thanks a billion . 
Let's go in . , After you . 
"Could you tell me what university you want to go to , John ? ", Pardon ? 
 Pardon ? , What university would you enter ? 
 What university would you enter ? , University ? Why ? You asked me last year . 
 University ? Why ? You asked me last year . ," Oh , I forget . Sorry . "
" Oh , I forget . Sorry . ", I went to Harvard University . 
 I went to Harvard University . , Did you ? And what course did you take there ? 
 Did you ? And what course did you take there ? , God save me ! Is there anything wrong with you ? Didn't I tell you ? 
 God save me ! Is there anything wrong with you ? Didn't I tell you ? ," I've not known . Perhaps , I've got a bad memory . "
" I've not known . Perhaps , I've got a bad memory . ", I did a B . A . in economics . Remember ? 
 I did a B . A . in economics . Remember ? ," Terrific ! B . A . , again and again-B . A . "
I think he deserved his gold . , Did you see his last dive ? 
 Did you see his last dive ? ," Yes , it's perfect ! "
" Yes , it's perfect ! ", He's diving for the gold . 
"You are studying here , aren ’ t you ? ", Yes . I have been here for three years . 
 Yes . I have been here for three years . , Do you like this campus ? 
 Do you like this campus ? , Well . I ’ m rather disappointed with it . 
 Well . I ’ m rather disappointed with it . , How come ? 
 How come ? , It ’ s too old . And it isn ’ t as specious as I expected . 
 It ’ s too old . And it isn ’ t as specious as I expected . ," Oh.It ’ s awful , but it can ’ t be helped . "
" Oh.It ’ s awful , but it can ’ t be helped . ", I ’ ll just have to put up with it . 
How I wish my son Mark could be as excellent as your Joe ! , Don ’ t be too humble . Few young men could be equal to Mark . And in some respects Joe and Mark are neck and neck . 
 Don ’ t be too humble . Few young men could be equal to Mark . And in some respects Joe and Mark are neck and neck . , I agree . Both Joe and Mark are men of guts . 
Hi Mark . , Hi . 
 Hi . , What are you planning to do today ? 
 What are you planning to do today ? , I'm not sure yet . 
 I'm not sure yet . , Would you like to have lunch with me ? 
 Would you like to have lunch with me ? , Yes . When ? 
 Yes . When ? , Is 11:30 AM OK ? 
 Is 11:30 AM OK ? ," Sorry , I didn't hear you . Can you say that again please ? "
" Sorry , I didn't hear you . Can you say that again please ? "," I said , 11:30 AM . "
" I said , 11:30 AM . "," Oh , I'm busy then . Can we meet a little later ? "
" Oh , I'm busy then . Can we meet a little later ? "," OK , how about 12:30 PM ? "
" OK , how about 12:30 PM ? ", OK . Where ? 
 OK . Where ? , How about Bill's Seafood Restaurant ? 
 How about Bill's Seafood Restaurant ? ," Oh , Where is that ? "
" Oh , Where is that ? ", It's on 7th Street . 
 It's on 7th Street . ," OK , I'll meet you there . "
How have you been ? ," Fine , thanks . How about you ? "
"Hi , Monica , congratulations ! Your presentation at the meeting was very successful and everyone was impressed by your speech . And it was so persuasive and I bet our clients will be convinced to invest their money in this project . You really made a big contribution to our company . "," Thank you , I just tried my best . I am very happy to know you like it . "
" Thank you , I just tried my best . I am very happy to know you like it . "," You must have been prepared for a long time . Some statistics in this presentation are not easy to find , right ? "
" You must have been prepared for a long time . Some statistics in this presentation are not easy to find , right ? "," Well , yes . Several colleagues from different departments helped me with that . They are very supportive . I consulted an economic expert last week . He was very kind to give valuable suggestions . "
" Well , yes . Several colleagues from different departments helped me with that . They are very supportive . I consulted an economic expert last week . He was very kind to give valuable suggestions . "," Now , the effort pays off . You have accomplished something . "
" Now , the effort pays off . You have accomplished something . "," Come on , don ’ t flatter me anymore . I took the job because I love being challenged . But I can ’ t get this turned around without the support from you people . "
"I hate to say goodbye , but it's late . "," Can't you stay for a little bit longer , it's only 8 . "
